key,module,page,component,slot,text,notes,status
header.auth.sign_in_aria,shared,*,InsforgeUserHeaderControls,sign_in_aria,"Sign in",,active
login.back_home,shared,LoginPage,LoginPage,back_home,"Back to home",,active
login.cloud_only,shared,LoginPage,LoginPage,cloud_only,"Cloud sign-in is not configured. Use the local dashboard on localhost.",,active
login.title,shared,LoginPage,LoginPage,title,"Sign in",,active
login.subtitle,shared,LoginPage,LoginPage,subtitle,"Choose email or a connected account.",,active
login.dismiss,shared,LoginPage,LoginPage,dismiss,"Dismiss",,active
login.verify_email_success,shared,LoginPage,LoginPage,verify_ok,"Email verified. You can sign in below.",,active
login.verify_email_pending,shared,LoginPage,LoginPage,verify_pending,"Check your email to verify your account, then sign in.",,active
login.oauth.continue,shared,LoginPage,LoginPage,oauth_continue,"Continue with {{provider}}",,active
login.divider,shared,LoginPage,LoginPage,divider,"Or",,active
login.tab.sign_in,shared,LoginPage,LoginPage,tab_sign_in,"Sign in",,active
login.tab.sign_up,shared,LoginPage,LoginPage,tab_sign_up,"Create account",,active
login.field.name,shared,LoginPage,LoginPage,field_name,"Display name",,active
login.field.name_placeholder,shared,LoginPage,LoginPage,name_placeholder,"Optional",,active
login.field.email,shared,LoginPage,LoginPage,field_email,"Email",,active
login.field.password,shared,LoginPage,LoginPage,field_password,"Password",,active
login.password_hint,shared,LoginPage,LoginPage,pw_hint,"At least {{min}} characters.",,active
login.submit.sign_in,shared,LoginPage,LoginPage,submit_sign_in,"Sign in with email",,active
login.submit.sign_up,shared,LoginPage,LoginPage,submit_sign_up,"Create account",,active
login_modal.subtitle,shared,*,LoginModal,subtitle,"Sign in to join the leaderboard",,active
login_modal.continue_email,shared,*,LoginModal,continue_email,"Continue with Email",,active
login_modal.divider_email,shared,*,LoginModal,divider_email,"email",,active
shared.placeholder.short,shared,*,*,placeholder_short,"--",,active
shared.unit.percent,shared,*,*,unit_percent,"%",,active
shared.unit.thousand_abbrev,shared,*,*,unit_thousand_abbrev,"K",,active
shared.unit.million_abbrev,shared,*,*,unit_million_abbrev,"M",,active
shared.unit.billion_abbrev,shared,*,*,unit_billion_abbrev,"B",,active
shared.data_source,shared,*,*,label,"Data source: {{source}}",,active
shared.error.prefix,shared,*,*,label,"Error: {{error}}",,active
shared.status.unsynced,shared,*,*,status,"—",,active
error.boundary.title,shared,*,ErrorBoundary,title,"Something went wrong",,active
error.boundary.subtitle,shared,*,ErrorBoundary,subtitle,"This view failed to render",,active
error.boundary.hint,shared,*,ErrorBoundary,hint,"Open the console, then reload the page",,active
error.boundary.no_details,shared,*,ErrorBoundary,details,"No error details",,active
error.boundary.action.reload,shared,*,ErrorBoundary,action_reload,"Reload",,active

landing.handle.default,landing,LandingPage,LandingPage,handle_default,"VIBE_USER",,active
landing.handle.special,landing,LandingPage,LandingPage,handle_special,"VOLT",,active
landing.screenshot.alt,landing,LandingPage,LandingPage,screenshot_alt,"TokenTracker dashboard screenshot",,active
landing.nav.login,landing,LandingPage,LandingPage,nav_login,"LOGIN",,active
landing.nav.signup,landing,LandingPage,LandingPage,nav_signup,"SIGN UP",,active
landing.install.command,landing,LandingPage,LandingPage,install_command,"npx --yes tokentracker-cli",,active
landing.install.action.copy,landing,LandingPage,LandingPage,install_copy,"COPY COMMAND",,active
landing.install.action.copied,landing,LandingPage,LandingPage,install_copied,"COPIED",,active
landing.meta.title,landing,LandingPage,Meta,title,"Token Tracker — Token Usage Tracker for AI Agent CLIs",,active
landing.meta.description,landing,LandingPage,Meta,description,"Automatically monitor token usage across Claude Code, Cursor, Codex, and more. Local-first, privacy-focused, and zero manual configuration.",,active
landing.meta.og_site_name,landing,LandingPage,Meta,og_site_name,"Token Tracker",,active
landing.meta.og_type,landing,LandingPage,Meta,og_type,"website",,active
landing.meta.og_image,landing,LandingPage,Meta,og_image,"https://www.tokentracker.cc/dashboard-dark.png",,active
landing.meta.og_url,landing,LandingPage,Meta,og_url,"https://www.tokentracker.cc/",,active
landing.meta.twitter_card,landing,LandingPage,Meta,twitter_card,"summary_large_image",,active
share.meta.title,share,SharePage,Meta,title,"Token Tracker Share",,active
share.meta.description,share,SharePage,Meta,description,"Share a Token Tracker dashboard snapshot with token usage insights across models, projects, and time windows.",,active
share.meta.og_site_name,share,SharePage,Meta,og_site_name,"Token Tracker",,active
share.meta.og_type,share,SharePage,Meta,og_type,"website",,active
share.meta.og_image,share,SharePage,Meta,og_image,"https://www.tokentracker.cc/dashboard-dark.png",,active
share.meta.og_url,share,SharePage,Meta,og_url,"https://www.tokentracker.cc/share",,active
share.meta.twitter_card,share,SharePage,Meta,twitter_card,"summary_large_image",,active
landing.handle.placeholder,landing,LandingPage,LandingPage,handle_placeholder,"TRY '{{handle}}'",,active
landing.rank.expectation,landing,LandingPage,LandingPage,rank_expectation,"RANK_EXPECTATION: {{rank}}",,active
landing.rank.singularity,landing,LandingPage,LandingPage,rank_singularity,"APEX",,active
landing.rank.unranked,landing,LandingPage,LandingPage,rank_unranked,"UNRANKED",,active
landing.cta.primary,landing,LandingPage,LandingPage,cta_primary,"View Dashboard",,active
landing.cta.secondary,landing,LandingPage,LandingPage,cta_secondary,"GITHUB SOURCE",,active






landing.v2.hero.title_line1,landing,LandingPage,MarketingLanding,hero_title_1,"TRACK ALL YOUR",,active
landing.v2.hero.title_line2,landing,LandingPage,MarketingLanding,hero_title_2,"AI TOKENS",,active
landing.v2.install.mac_cta,landing,LandingPage,MarketingLanding,mac_cta,"MAC APP (DMG)",,active
landing.v2.models.title,landing,LandingPage,MarketingLanding,models_title,"SUPPORTED AI CLI TOOLS",,active
landing.v2.compare.kicker,landing,LandingPage,MarketingLanding,compare_kicker,"SEAMLESS TRACKING",,active
landing.v2.compare.title,landing,LandingPage,MarketingLanding,compare_title,"Stop guessing your AI usage.",,active
landing.v2.compare.subtitle,landing,LandingPage,MarketingLanding,compare_subtitle,"AI CLI tools hide your usage data in obscure local files. TokenTracker aggregates them into a single, beautiful dashboard in real-time.",,active
landing.v2.distill.body,landing,LandingPage,MarketingLanding,distill_body,"100% local processing. No prompts or code are ever collected.",,active
landing.v2.compare.with.title,landing,LandingPage,MarketingLanding,with_title,"WITH TOKEN TRACKER",,active
landing.v2.compare.with.p1,landing,LandingPage,MarketingLanding,with_p1,"Centralized usage dashboard",,active
